"sas_extensions","Stone and Storm"
"sas_customerpaymentmethod","Customer Payment Method"
"general","Algemeen"
"enabled","Ingeschakeld"
"disable payment method", "Betaalmethodes"
"sas_cpm_comment","Selecteer de betaalmethodes die uitgeschakeld moeten worden."
